Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
ID;Name;Name ES;Target;BodyPart;Equipment;GifUrl;Instructions;Instructions ES;SecondaryMuscles
VPPtusI;inverted row bent knees;Remo invertido con rodillas flexionadas;upper back;back;body weight;https://static.exercisedb.dev/media/VPPtusI.gif;Step:1 Set up a bar at waist height and lie underneath it. | Step:2 Grab the bar with an overhand grip, slightly wider than shoulder-width apart. | Step:3 Position your body so that your heels are on the ground and your body is straight. | Step:4 Pull your chest up towards the bar by squeezing your shoulder blades together. | Step:5 Pause for a moment at the top, then slowly lower your body back down to the starting position. | Step:6 Repeat for the desired number of repetitions.;"Step:1 Coloca una barra a la altura de la cintura y túmbate debajo de ella.
Step:2 Sujeta la barra con un agarre prono (palmas hacia abajo), a una anchura ligeramente superior a la de los hombros.
Step:3 Coloca tu cuerpo de modo que los talones estén en el suelo y el torso esté recto.
Step:4 Tira del pecho hacia la barra apretando las escápulas.
Step:5 Haz una pausa un momento en la parte superior y luego baja lentamente el cuerpo hasta la posición inicial.
Step:6 Repite el movimiento durante el número deseado de repeticiones.";biceps, forearms
8d8qJQI;barbell reverse grip incline bench row;Remo con barra en banco inclinado con agarre supino (inverso);upper back;back;barbell;https://static.exercisedb.dev/media/8d8qJQI.gif;Step:1 Set up an incline bench at a 45-degree angle. | Step:2 Sit on the bench facing the backrest with your chest against it. | Step:3 Grab the barbell with a reverse grip (palms facing down) and hands slightly wider than shoulder-width apart. | Step:4 Keep your back straight and core engaged. | Step:5 Pull the barbell towards your upper abdomen, squeezing your shoulder blades together. | Step:6 Pause for a moment at the top of the movement. | Step:7 Slowly lower the barbell back to the starting position. | Step:8 Repeat for the desired number of repetitions.;"Step:1 Ajusta un banco inclinado a un ángulo de 45 grados.
Step:2 Siéntate en el banco de cara al respaldo con el pecho apoyado en él.
Step:3 Sujeta la barra con un agarre supino (palmas hacia arriba) y las manos ligeramente más abiertas que la anchura de los hombros.
Step:4 Mantén la espalda recta y el core activado.
Step:5 Tira de la barra hacia la parte superior del abdomen, apretando las escápulas.
Step:6 Haz una pausa un momento en la parte más alta del movimiento.
Step:7 Baja lentamente la barra hasta la posición inicial.
Step:8 Repite el movimiento durante el número deseado de repeticiones.";biceps, forearms
JGKowMS;smith narrow row;Remo en máquina Smith (Multipower) con agarre estrecho;upper back;back;smith machine;https://static.exercisedb.dev/media/JGKowMS.gif;Step:1 Adjust the seat height and position yourself on the machine with your feet flat on the floor. | Step:2 Grasp the handles with an overhand grip, slightly narrower than shoulder-width apart. | Step:3 Keep your back straight and your chest up as you pull the handles towards your body, squeezing your shoulder blades together. | Step:4 Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Ajusta la altura del asiento y colócate en la máquina con los pies apoyados en el suelo.
Step:2 Sujeta los agarres con un agarre prono (palmas hacia abajo), con una anchura ligeramente más estrecha que la de tus hombros.
Step:3 Mantén la espalda recta y el pecho erguido mientras tiras de los agarres hacia tu cuerpo, apretando las escápulas.
Step:4 Haz una pausa un momento en el punto de máxima contracción y luego regresa lentamente a la posición inicial.
Step:5 Repite el movimiento durante el número deseado de repeticiones.";biceps, rear deltoids
dmgMp3n;barbell incline row;Remo inclinado con barra en banco (apoyo en pecho);upper back;back;barbell;https://static.exercisedb.dev/media/dmgMp3n.gif;Step:1 Set up an incline bench at a 45-degree angle. | Step:2 Lie face down on the bench with your chest against the pad and your feet flat on the ground. | Step:3 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. | Step:4 Keep your back straight and your core engaged. | Step:5 Pull the barbell towards your chest, squeezing your shoulder blades together. | Step:6 Pause for a moment at the top, then slowly lower the barbell back to the starting position. | Step:7 Repeat for the desired number of repetitions.;"Step:1 Ajusta un banco inclinado a un ángulo de 45 grados.
Step:2 Túmbate boca abajo en el banco con el pecho apoyado en el respaldo y los pies firmes en el suelo.
Step:3 Sujeta la barra con un agarre prono (palmas hacia abajo), con una anchura ligeramente superior a la de los hombros.
Step:4 Mantén la espalda recta y el core activado durante todo el ejercicio.
Step:5 Tira de la barra hacia tu pecho, apretando las escápulas al final del recorrido.
Step:6 Haz una pausa un momento arriba y luego baja lentamente la barra hasta la posición inicial.
Step:7 Repite el movimiento durante el número deseado de repeticiones.";biceps, forearms
ZqNOWQ6;lever reverse grip vertical row;Remo vertical en máquina con agarre supino (inverso);upper back;back;leverage machine;https://static.exercisedb.dev/media/ZqNOWQ6.gif;Step:1 Adjust the seat height and footplate position to ensure proper alignment. | Step:2 Sit on the machine with your chest against the pad and your feet flat on the footplate. | Step:3 Grasp the handles with an underhand grip, palms facing up. | Step:4 Keep your back straight and engage your core. | Step:5 Pull the handles towards your chest, squeezing your shoulder blades together. | Step:6 Pause for a moment at the top of the movement, then slowly release and extend your arms back to the starting position. | Step:7 Repeat for the desired number of repetitions.;"Step:1 Ajusta la altura del asiento y la posición del reposapiés para asegurar una alineación correcta.
Step:2 Siéntate en la máquina con el pecho apoyado en el respaldo y los pies firmes en el reposapiés.
Step:3 Sujeta los agarres con un agarre supino (palmas hacia arriba).
Step:4 Mantén la espalda recta y activa el core.
Step:5 Tira de los agarres hacia tu pecho, apretando las escápulas.
Step:6 Haz una pausa un momento arriba y luego regresa lentamente a la posición inicial extendiendo los brazos.
Step:7 Repite el movimiento durante el número deseado de repeticiones.";biceps, forearms
w2oRpuH;lever alternating narrow grip seated row;Remo sentado alterno en máquina con agarre estrecho;upper back;back;leverage machine;https://static.exercisedb.dev/media/w2oRpuH.gif;Step:1 Adjust the seat height and footplate position to ensure proper alignment. | Step:2 Sit on the machine with your back straight and feet flat on the footplate. | Step:3 Grasp the handles with a narrow grip, palms facing each other. | Step:4 Keep your chest up and shoulders back throughout the exercise. | Step:5 Pull one handle towards your torso while keeping the other handle stationary. | Step:6 Squeeze your shoulder blades together at the end of the movement. | Step:7 Slowly return the handle to the starting position and repeat with the other side. | Step:8 Continue alternating sides for the desired number of repetitions.;"Step:1 Ajusta la altura del asiento y la posición del reposapiés para asegurar una alineación correcta.
Step:2 Siéntate en la máquina con la espalda recta y los pies apoyados en el reposapiés.
Step:3 Sujeta los agarres con un agarre estrecho (palmas enfrentadas).
Step:4 Mantén el pecho erguido y los hombros hacia atrás durante todo el ejercicio.
Step:5 Tira de un agarre hacia tu torso mientras mantienes el otro quieto en la posición inicial.
Step:6 Aprieta las escápulas al final del movimiento.
Step:7 Regresa lentamente el agarre a la posición inicial y repite con el otro lado.
Step:8 Continúa alternando lados durante el número deseado de repeticiones.";biceps, forearms
zYmNaoY;elevator;Ascensor (Movilidad/Bisagra de cadera);upper back;back;body weight;https://static.exercisedb.dev/media/zYmNaoY.gif;Step:1 Stand with your feet shoulder-width apart and your knees slightly bent. | Step:2 Place your hands on your hips or cross them in front of your chest. | Step:3 Keeping your back straight, slowly bend forward at the waist, lowering your upper body towards the ground. | Step:4 Pause for a moment at the bottom, then slowly raise your upper body back up to the starting position. | Step:5 Repeat for the desired number of repetitions.;"Step:1 Ponte de pie con los pies a la anchura de los hombros y las rodillas ligeramente flexionadas.
Step:2 Coloca las manos en las caderas o crúcelas frente al pecho.
Step:3 Manteniendo la espalda recta, inclínate lentamente hacia adelante desde la cadera, bajando el torso hacia el suelo.
Step:4 Haz una pausa un momento en la parte inferior y luego levanta lentamente el torso hasta la posición inicial.
Step:5 Repite el movimiento durante el número deseado de repeticiones.";shoulders, trapezius
C0MA9bC;dumbbell one arm bent-over row;Remo con mancuerna a una mano inclinado;upper back;back;dumbbell;https://static.exercisedb.dev/media/C0MA9bC.gif;Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in one hand with your palm facing your body. | Step:2 Bend your knees slightly and hinge forward at the hips, keeping your back straight and your core engaged. | Step:3 Let the dumbbell hang straight down towards the floor, with your arm fully extended. | Step:4 Pull the dumbbell up towards your chest, keeping your elbow close to your body and squeezing your shoulder blades together. | Step:5 Pause for a moment at the top, then slowly lower the dumbbell back down to the starting position. | Step:6 Repeat for the desired number of repetitions, then switch sides.;"Step:1 Ponte de pie con los pies a la anchura de los hombros, sujetando una mancuerna con una mano y la palma hacia tu cuerpo.
Step:2 Dobla ligeramente las rodillas e inclina el torso hacia adelante desde la cadera, manteniendo la espalda recta y el core activado.
Step:3 Deja que la mancuerna cuelgue hacia el suelo con el brazo completamente extendido.
Step:4 Tira de la mancuerna hacia tu pecho, manteniendo el codo cerca del cuerpo y apretando las escápulas.
Step:5 Haz una pausa un momento arriba y luego baja lentamente la mancuerna hasta la posición inicial.
Step:6 Repite las veces necesarias y luego cambia de lado.";biceps, forearms
UFGF6gk;cable rope crossover seated row;Remo sentado con cruce de poleas y cuerda;upper back;back;cable;https://static.exercisedb.dev/media/UFGF6gk.gif;Step:1 Sit on the rowing machine with your feet flat on the footrests and your knees slightly bent. | Step:2 Grasp the cable ropes with an overhand grip, palms facing each other. | Step:3 Lean back slightly, keeping your back straight and your core engaged. | Step:4 Pull the cable ropes towards your chest, squeezing your shoulder blades together. | Step:5 Pause for a moment at the peak of the movement, then slowly release the tension and return to the starting position. | Step:6 Repeat for the desired number of repetitions.;"Step:1 Siéntate en la máquina de remo con los pies apoyados en los reposapiés y las rodillas ligeramente flexionadas.
Step:2 Sujeta las cuerdas de la polea con un agarre neutro (palmas enfrentadas).
Step:3 Inclínate ligeramente hacia atrás, manteniendo la espalda recta y el core activado.
Step:4 Tire de las cuerdas hacia tu pecho, apretando las escápulas.
Step:5 Haz una pausa un momento en el punto de máxima contracción, luego libera lentamente la tensión y regresa a la posición inicial.
Step:6 Repite el movimiento durante el número deseado de repeticiones.";biceps, forearms
